iter	Passed	Remaining
0	48	48080
1	49	24533
2	49	16600
3	50	12640
4	52	10473
5	53	8857
6	54	7704
7	55	6850
8	56	6168
9	56	5621
10	57	5174
11	58	4804
12	59	4493
13	59	4220
14	60	3984
15	61	3774
16	62	3594
17	62	3430
18	63	3287
19	64	3167
20	65	3050
21	66	2946
22	66	2845
23	67	2757
24	68	2674
25	69	2595
26	70	2523
27	70	2454
28	71	2387
29	71	2327
30	72	2270
31	73	2215
32	73	2163
33	74	2114
34	75	2068
35	75	2024
36	76	1984
37	76	1945
38	77	1907
39	78	1872
40	78	1836
41	79	1802
42	79	1769
43	80	1740
44	80	1711
45	81	1683
46	81	1655
47	82	1629
48	82	1604
49	83	1581
50	83	1557
51	84	1535
52	84	1513
53	85	1490
54	85	1469
55	85	1447
56	86	1427
57	86	1408
58	87	1389
59	87	1371
60	87	1354
61	88	1337
62	88	1320
63	89	1304
64	89	1289
65	90	1274
66	90	1259
67	90	1242
68	91	1228
69	91	1214
70	91	1200
71	92	1186
72	92	1172
73	92	1159
74	92	1146
75	93	1133
76	93	1121
77	93	1109
78	94	1098
79	94	1086
80	94	1075
81	95	1063
82	95	1052
83	95	1041
84	95	1029
85	95	1019
86	96	1008
87	96	998
88	96	988
89	96	979
90	97	970
91	97	961
92	97	952
93	97	943
94	98	935
95	98	926
96	98	918
97	98	910
98	99	902
99	99	894
100	99	886
101	99	878
102	99	870
103	100	863
104	100	856
105	100	849
106	100	842
107	101	835
108	101	828
109	101	822
110	101	815
111	102	809
112	102	803
113	102	797
114	102	791
115	102	784
116	103	778
117	103	773
118	103	767
119	103	761
120	104	755
121	104	750
122	104	744
123	104	739
124	104	733
125	105	728
126	105	723
127	105	718
128	105	713
129	105	709
130	106	704
131	106	699
132	106	695
133	106	690
134	107	686
135	107	682
136	107	677
137	107	673
138	108	669
139	108	664
140	108	660
141	108	656
142	108	652
143	109	649
144	109	645
145	109	641
146	109	637
147	110	634
148	110	630
149	110	626
150	110	623
151	111	620
152	111	616
153	111	613
154	111	609
155	112	606
156	112	603
157	112	599
158	112	596
159	113	593
160	113	590
161	113	587
162	113	583
163	113	580
164	114	577
165	114	575
166	114	572
167	114	569
168	115	566
169	115	563
170	115	560
171	115	558
172	116	555
173	116	552
174	116	550
175	116	547
176	117	544
177	117	542
178	117	539
179	117	536
180	117	533
181	118	531
182	118	528
183	118	526
184	118	523
185	119	521
186	119	518
187	119	516
188	119	514
189	120	511
190	120	509
191	120	507
192	120	505
193	121	502
194	121	500
195	121	498
196	121	496
197	121	494
198	122	491
199	122	489
200	122	487
201	122	485
202	123	483
203	123	481
204	123	479
205	123	477
206	124	475
207	124	473
208	124	471
209	124	469
210	125	467
211	125	465
212	125	464
213	125	462
214	126	460
215	126	458
216	126	456
217	126	454
218	127	453
219	127	451
220	127	449
221	127	447
222	127	445
223	128	444
224	128	442
225	128	440
226	129	439
227	129	437
228	129	436
229	129	434
230	130	432
231	130	431
232	130	429
233	130	428
234	131	426
235	131	424
236	131	423
237	131	421
238	131	420
239	132	418
240	132	416
241	132	415
242	132	413
243	133	412
244	133	410
245	133	409
246	133	407
247	134	406
248	134	405
249	134	403
250	134	402
251	134	400
252	135	399
253	135	397
254	135	396
255	135	395
256	136	393
257	136	392
258	136	390
259	136	389
260	137	388
261	137	386
262	137	385
263	137	384
264	138	382
265	138	381
266	138	380
267	138	378
268	138	377
269	139	376
270	139	375
271	139	373
272	139	372
273	140	371
274	140	370
275	140	368
276	140	367
277	141	366
278	141	365
279	141	364
280	141	362
281	142	361
282	142	360
283	142	359
284	142	358
285	142	356
286	143	355
287	143	354
288	143	353
289	143	352
290	144	351
291	144	349
292	144	348
293	144	347
294	145	346
295	145	345
296	145	344
297	145	343
298	145	342
299	146	341
300	146	340
301	146	338
302	146	337
303	147	336
304	147	335
305	147	334
306	147	333
307	148	332
308	148	331
309	148	330
310	148	329
311	149	328
312	149	327
313	149	326
314	149	325
315	150	325
316	150	324
317	152	326
318	152	325
319	152	324
320	152	323
321	153	322
322	153	321
323	153	320
324	153	319
325	154	318
326	154	317
327	154	316
328	154	315
329	155	314
330	155	313
331	155	312
332	155	311
333	155	311
334	156	310
335	156	309
336	156	308
337	157	307
338	157	306
339	157	305
340	157	304
341	157	303
342	158	303
343	158	302
344	158	301
345	158	300
346	159	299
347	159	298
348	159	297
349	159	296
350	160	296
351	160	295
352	160	294
353	160	293
354	161	292
355	161	291
356	161	290
357	161	290
358	162	289
359	162	288
360	162	287
361	162	286
362	162	285
363	163	285
364	163	284
365	163	283
366	163	282
367	164	281
368	164	281
369	164	280
370	164	279
371	165	278
372	165	278
373	165	277
374	165	276
375	166	275
376	166	274
377	166	274
378	166	273
379	167	272
380	167	271
381	167	271
382	167	270
383	167	269
384	168	268
385	168	267
386	168	267
387	168	266
388	169	265
389	169	265
390	169	264
391	169	263
392	170	262
393	170	262
394	170	261
395	170	260
396	171	259
397	171	259
398	171	258
399	171	257
400	172	256
401	172	256
402	172	255
403	172	254
404	172	254
405	173	253
406	173	252
407	173	252
408	173	251
409	174	250
410	174	249
411	174	249
412	174	248
413	175	247
414	175	247
415	175	246
416	175	245
417	176	245
418	176	244
419	176	243
420	176	243
421	177	242
422	177	241
423	177	241
424	177	240
425	178	239
426	178	239
427	178	238
428	178	237
429	178	237
430	179	236
431	179	235
432	179	235
433	179	234
434	180	233
435	180	233
436	180	232
437	180	232
438	181	231
439	181	230
440	181	230
441	181	229
442	182	228
443	182	228
444	182	227
445	182	227
446	183	226
447	183	225
448	183	225
449	183	224
450	183	223
451	184	223
452	184	222
453	184	222
454	184	221
455	185	220
456	185	220
457	185	219
458	185	219
459	186	218
460	186	217
461	186	217
462	186	216
463	187	216
464	187	215
465	187	214
466	187	214
467	187	213
468	188	213
469	188	212
470	188	211
471	188	211
472	189	210
473	189	210
474	189	209
475	189	209
476	190	208
477	190	207
478	190	207
479	190	206
480	191	206
481	191	205
482	191	205
483	191	204
484	192	203
485	192	203
486	192	202
487	192	202
488	193	201
489	193	201
490	193	200
491	193	200
492	194	199
493	194	198
494	194	198
495	194	197
496	194	197
497	195	196
498	195	196
499	195	195
500	195	195
501	196	194
502	196	194
503	196	193
504	196	193
505	197	192
506	197	191
507	197	191
508	197	190
509	198	190
510	198	189
511	198	189
512	198	188
513	199	188
514	199	187
515	199	187
516	199	186
517	200	186
518	200	185
519	200	185
520	200	184
521	200	184
522	201	183
523	201	182
524	201	182
525	201	181
526	202	181
527	202	180
528	202	180
529	202	179
530	203	179
531	203	178
532	203	178
533	203	177
534	204	177
535	204	176
536	204	176
537	204	175
538	205	175
539	205	174
