iter	Passed	Remaining
0	46	46347
1	46	23287
2	46	15597
3	47	11748
4	47	9446
5	47	7944
6	48	6838
7	48	6007
8	48	5362
9	48	4845
10	49	4422
11	49	4073
12	49	3776
13	50	3523
14	50	3303
15	50	3110
16	50	2939
17	51	2787
18	51	2652
19	51	2530
20	51	2419
21	52	2319
22	52	2228
23	52	2143
24	52	2066
25	53	1994
26	53	1928
27	53	1866
28	54	1809
29	54	1756
30	54	1706
31	54	1659
32	55	1623
33	56	1595
34	56	1560
35	56	1522
36	57	1486
37	57	1452
38	57	1419
39	57	1390
40	58	1361
41	58	1334
42	58	1308
43	59	1283
44	59	1258
45	59	1235
46	59	1212
47	60	1191
48	60	1171
49	60	1151
50	60	1132
51	61	1114
52	61	1096
53	61	1079
54	61	1063
55	62	1047
56	62	1032
57	62	1017
58	62	1003
59	63	989
60	63	976
61	63	962
62	63	950
63	64	938
64	64	926
65	64	914
66	64	903
67	65	892
68	65	882
69	65	871
70	65	861
71	66	852
72	66	842
73	66	833
74	66	824
75	67	815
76	67	806
77	67	798
78	67	790
79	68	782
80	68	774
81	68	766
82	68	757
83	68	750
84	69	743
85	69	736
86	69	730
87	69	723
88	70	717
89	70	711
90	70	707
91	71	701
92	71	695
93	71	690
94	71	684
95	72	679
96	72	673
97	72	668
98	72	663
99	73	658
100	73	653
101	73	650
102	74	645
103	74	640
104	74	636
105	74	631
106	75	627
107	75	623
108	75	618
109	75	614
110	76	610
111	76	606
112	76	601
113	76	597
114	77	593
115	77	589
116	77	585
117	77	581
118	78	577
119	78	574
120	78	570
121	78	566
122	78	562
123	79	559
124	79	555
125	79	552
126	79	548
127	80	545
128	80	542
129	80	539
130	80	535
131	81	532
132	81	529
133	81	526
134	81	523
135	81	520
136	82	517
137	82	514
138	82	512
139	82	509
140	83	506
141	83	503
142	83	500
143	83	497
144	84	495
145	84	492
146	84	490
147	84	487
148	84	485
149	85	482
150	85	480
151	85	478
152	85	475
153	86	473
154	86	470
155	86	468
156	86	466
157	87	464
158	87	462
159	87	460
160	87	457
161	88	455
162	88	453
163	88	451
164	88	449
165	89	447
166	89	445
167	89	443
168	89	441
169	90	439
170	90	437
171	90	435
172	90	433
173	90	431
174	91	430
175	91	428
176	91	426
177	91	424
178	92	422
179	92	421
180	92	419
181	92	417
182	93	415
183	93	414
184	93	412
185	93	411
186	94	409
187	94	407
188	94	406
189	94	404
190	95	403
191	95	401
192	95	399
193	95	398
194	96	397
195	96	395
196	96	393
197	96	392
198	97	391
199	97	389
200	97	388
201	97	386
202	98	385
203	98	383
204	98	382
205	98	380
206	99	379
207	99	378
208	99	376
209	99	375
210	100	374
211	100	372
212	100	371
213	100	370
214	101	368
215	101	367
216	101	366
217	101	365
